RPM,  INJ(0.1msec), IGN(CA), INJ_END(CA)
400,  0,  0,  0
800,  80, 0,  20
1200, 80, 0,  20
1600, 40, 15, 680
2000, 44, 20, 680
2400, 44, 20, 680
2800, 44, 25, 680
3200, 42, 25, 680
3600, 40, 25, 680
4000, 40, 30, 680
4400, 40, 30, 680
4800, 40, 30, 680
5200, 40, 30, 680
5600, 40, 30, 680
6000, 40, 30, 680
